id,title,original_title,release_date,budget
55762,Sweeney!,Sweeney!,1/14/1977,209595
55784,Grizzly,Grizzly,5/21/1976,750000
55890,Bereavement,Bereavement,7/16/2010,2000000
56288,Spy Kids: All the Time in the World,Spy Kids: All the Time in the World,8/18/2011,27000000
56292,Mission: Impossible - Ghost Protocol,Mission: Impossible - Ghost Protocol,12/7/2011,145000000
56372,Shadowboxing,Бой с Тенью,3/5/2005,3500000
56500,They Call Us Misfits,Dom kallar oss mods,3/25/1968,12000
56525,Boj S Tenyu 2: Revansh,Бой с тенью 2: Реванш,10/18/2007,6000000
56590,All Star Superman,All Star Superman,2/22/2011,3500000
56666,Fiza,Fiza,9/8/2000,1000000
56780,Atlas Shrugged Part I,Atlas Shrugged Part I,4/14/2011,15000000
56913,Sacrifice,Sacrifice,4/26/2011,6800000
56948,Máncora,Máncora,9/2/2008,1800000
57089,Hoodwinked Too! Hood VS. Evil,Hoodwinked Too! Hood VS. Evil,4/29/2011,30000000
57157,Young Adult,Young Adult,12/16/2011,12000000
57186,Skinning,Šišanje,10/6/2010,500000
57209,Inadequate People,Неадекватные люди,12/12/2010,100000
57313,8213: Gacy House,8213: Gacy House,9/28/2010,500
57330,Chameleon,Kaméleon,12/3/2008,1800000
57436,The Erotic Man,The Erotic Man,9/26/2010,1400000
57510,Ethos,Ethos,1/1/2011,500000
57521,Black Bread,Pa Negre,10/10/2010,6000000
57655,Spin,Spin,1/26/2007,5000000
57695,The Princess of Montpensier,La Princesse de Montpensier,11/3/2010,14734000
57701,On the Hook!,Na Kryuchke!,2/3/2011,3000000
57809,Six Degrees of Celebration,Ёлки,12/12/2010,5000000
57812,51,51,2/26/2011,1000000
57889,The Best Movie 3-DE,Samyy Luchshiy Film 3-DE,1/19/2011,6500000
58159,The Tortoise and the Hare,The Tortoise and the Hare,1/5/1935,32671
58160,Little Hiawatha,Little Hiawatha,5/15/1937,33500
58365,Just Call Me Nobody,Da Xiao Jiang Hu,12/3/2010,10000000
58431,Pride and Prejudice and Zombies,Pride and Prejudice and Zombies,2/4/2016,28000000
58522,Boris - Il film,Boris - Il film,4/1/2011,3347850
58589,Metal Gear Solid: Philanthropy,Metal Gear Solid: Philanthropy,9/27/2009,15000
58595,Snow White and the Huntsman,Snow White and the Huntsman,5/30/2012,170000000
58631,29 Palms,29 Palms,7/29/2002,5000000
58648,Closet Land,Closet Land,3/6/1991,4000000
58664,Mostly Ghostly,Mostly Ghostly,9/30/2008,3600000
58692,Slove,Slove,2/21/2011,7000000
58788,Attack of the Sabretooth,Attack of the Sabretooth,7/14/2005,2
58857,13 Assassins,十三人の刺客,9/9/2010,6000000
59006,Girl Walks Into a Bar,Girl Walks Into a Bar,3/7/2011,1000000
59111,Kalamity,Kalamity,10/22/2010,2000000
59210,The Mother,The Mother,1/1/2003,2500000
59387,The Powerpuff Girls Movie,The Powerpuff Girls Movie,7/3/2002,10000000
59421,Bedevilled,김복남 살인사건의 전말,8/19/2010,700000
59852,Blinky™,Blinky™,3/21/2011,61733
59914,The Blonde with Bare Breasts,La blonde aux seins nus,7/21/2010,7500000
59964,Cabin in the Sky,Cabin in the Sky,4/9/1943,662141
60025,"I, Cesar","Moi César, 10 ans 1/2, 1,39 m",4/9/2003,6844180
60041,White Mischief,White Mischief,11/30/1987,5300000
60189,Lovey-Dovey 3,Любовь-морковь 3,3/3/2011,4000000
60304,Hansel & Gretel: Witch Hunters,Hansel & Gretel: Witch Hunters,1/17/2013,50000000
60366,ThanksKilling,ThanksKilling,11/17/2009,3500
60592,The Importance of Tying Your Own Shoes,Hur många lingon finns det i världen?,3/18/2011,950000
60935,The Thing,The Thing,10/12/2011,35000000
60994,Guinevere,Guinevere,9/4/1999,2600000
61012,Silent Hill: Revelation 3D,Silent Hill: Revelation 3D,10/10/2012,20000000
61038,Go for It!,Go for It!,5/13/2011,2450000
61125,Vares - The Kiss of Evil,Vares – Pahan suudelma,1/6/2011,1400000
61178,Nadine,Nadine,8/7/1987,12000000
61293,Office Romance. Our time,Sluzhebnyy Roman. Nashe Vremya,3/17/2011,5000000
61294,You and I,You and I,1/31/2011,20000000
61400,Thank You,Thank You,4/8/2011,13100000
61410,Spud,Spud,12/3/2010,5000000
61613,The Inheritance,The Inheritance,4/11/2011,500000
61783,Congorama,Congorama,5/25/2006,5000000
61940,Some Say No,C'è chi dice no,1/1/2011,8100000
61984,Space Battleship Yamato,Space Battleship Yamato,12/1/2010,12000000
61998,The PyraMMMid,PiraMMMida,4/7/2011,2200000
61999,Sara,Sara,5/23/1997,835000
62040,CounterForce,CounterForce,12/14/1998,7000000
62106,Earth Days,Earth Days,8/14/2009,1200000
62128,Raiders of the Lost Ark - The Adaptation,Raiders of the Lost Ark - The Adaptation,1/1/1989,5000
62276,Bummer,Бумер,8/2/2003,700000
62409,2033,2033,2/5/2010,5000000
62652,Bamako,Bamako,6/21/2006,2000000
62664,Indigo,Индиго,3/20/2008,2500000
62676,Limbo,Limbo,6/4/1999,8000000
62732,Lovey-Dovey 2,Любовь-морковь 2,12/23/2008,3000000
62756,Singam,Singam,5/28/2010,2200000
62757,Savages,Dikari,11/23/2006,800000
62871,A Distant Neighborhood,Quartier Lointain,5/20/2010,18000000
63044,De Vlaschaard,De Vlaschaard,7/1/1983,900000
63077,The Coming Days,Die kommenden Tage,11/4/2010,8900000
63207,Intruders,Intruders,9/12/2011,13000000
63281,Pro Lyuboff,Про любоff,9/30/2010,2000000
63310,Bullhead,Rundskop,2/2/2011,2000000
63311,The Skin I Live In,La piel que habito,8/17/2011,13000000
63375,Generation P,Generation P,4/14/2011,7000000
63378,100% Love,100% లవ్,5/6/2011,1500000
63447,Cupid's Balls,Amors Baller,1/1/2011,2800000
63774,Chicks,La Vie au ranch,10/13/2010,200000
63795,Abbott and Costello Meet Captain Kidd,Abbott and Costello Meet Captain Kidd,12/27/1952,450
63838,Mechenosets,Mechenosets,10/12/2006,5000000
63898,Antidur,Антидурь,9/6/2007,5000000
63943,West Is West,West Is West,10/19/2010,3837625
63963,Maundy Thursday,우리들의 행복한 시간,9/14/2006,4
63971,Deserter,Simon: An English Legionnaire,4/30/2002,3500000
63996,Vipers Nest,Gooische Vrouwen,3/10/2011,3500000
64029,Rollo and the Spirit of the Woods,Rölli ja Metsänhenki,12/21/2001,2200000
64228,"Love, Pain and Vice Versa",Violanchelo,2/10/2008,2556455
64264,Gloss,Glyanets,8/23/2007,2500000
64325,Cross,Cross,7/12/2011,2000000
64483,A Driver for Vera,Voditel dlya Very,7/27/2004,3300000
64852,London After Midnight,London After Midnight,12/17/1927,152000
64944,A Parting Shot,Pas Douce,5/30/2007,2700000
64972,The Kid & I,The Kid & I,12/2/2005,5
65048,The Four Days of Naples,Le quattro giornate di Napoli,1/1/1962,800000
65096,EMR,EMR,1/1/2004,150000
65364,Sexual Predator,Sexual Predator,12/4/2001,1000000
65576,Bicycle Dreams,Bicycle Dreams,4/1/2009,300000
65614,Dreaming of Space,Космос как предчувствие,6/23/2005,2000000
65967,Up and Down,Horem pádem,9/16/2004,2000000
66092,I Never Promised You a Rose Garden,I Never Promised You a Rose Garden,7/14/1977,3000000
66150,Life in a Day,Life in a Day,1/27/2011,45202
66526,Mudhalvan,முதல்வன்,11/7/1999,7400000
66634,Dingo,Dingo,6/2/1991,200000
66780,The Journey,The Journey,6/13/2001,500000
66881,Nightbeast,Nightbeast,11/1/1982,14000
66966,Love Is My Profession,En cas de malheur,9/17/1958,750000
67220,Hard Contract,Hard Contract,4/30/1969,4000000
67509,Lily Sometimes,Pieds nus sur les limaces,12/1/2010,2300000
67626,Three Orphan Kittens,Three Orphan Kittens,10/26/1935,25771
67675,Glee: The Concert Movie,Glee: The Concert Movie,8/11/2011,9000000
67884,Chinese Take-Out,Un cuento chino,3/24/2011,5000000
